SKU_ID,INDUSTRY,FORECAST_DATE,FORECAST_WEEK,DEMAND_FORECAST,LOWER_BOUND,UPPER_BOUND,TREND
SKU10000,Automotive,2025-01-06,1,122,100,143,-0.797
SKU10000,Automotive,2025-01-13,2,123,100,145,-0.797
SKU10000,Automotive,2025-01-20,3,116,95,136,-0.797
SKU10000,Automotive,2025-01-27,4,116,95,136,-0.797
SKU10000,Automotive,2025-02-03,5,112,91,132,-0.797
SKU10000,Automotive,2025-02-10,6,109,89,128,-0.797
SKU10000,Automotive,2025-02-17,7,110,90,129,-0.797
SKU10000,Automotive,2025-02-24,8,113,92,133,-0.797
SKU10000,Automotive,2025-03-03,9,118,96,139,-0.797
SKU10000,Automotive,2025-03-10,10,118,96,139,-0.797
SKU10000,Automotive,2025-03-17,11,119,97,140,-0.797
SKU10000,Automotive,2025-03-24,12,116,95,136,-0.797
SKU10001,Healthcare,2025-01-06,1,2567,2104,3029,12.172
SKU10001,Healthcare,2025-01-13,2,2689,2204,3173,12.172
SKU10001,Healthcare,2025-01-20,3,2484,2036,2931,12.172
SKU10001,Healthcare,2025-01-27,4,2440,2000,2879,12.172
SKU10001,Healthcare,2025-02-03,5,2463,2019,2906,12.172
SKU10001,Healthcare,2025-02-10,6,2743,2249,3236,12.172
SKU10001,Healthcare,2025-02-17,7,2524,2069,2978,12.172
SKU10001,Healthcare,2025-02-24,8,2636,2161,3110,12.172
SKU10001,Healthcare,2025-03-03,9,2492,2043,2940,12.172
SKU10001,Healthcare,2025-03-10,10,2503,2052,2953,12.172
SKU10001,Healthcare,2025-03-17,11,2630,2156,3103,12.172
SKU10001,Healthcare,2025-03-24,12,2550,2091,3009,12.172
SKU10002,Apparel,2025-01-06,1,1261,1034,1487,7.178
SKU10002,Apparel,2025-01-13,2,1130,926,1333,7.178
SKU10002,Apparel,2025-01-20,3,1279,1048,1509,7.178
SKU10002,Apparel,2025-01-27,4,1176,964,1387,7.178
SKU10002,Apparel,2025-02-03,5,1195,979,1410,7.178
SKU10002,Apparel,2025-02-10,6,1103,904,1301,7.178
SKU10002,Apparel,2025-02-17,7,1205,988,1421,7.178
SKU10002,Apparel,2025-02-24,8,1131,927,1334,7.178
SKU10002,Apparel,2025-03-03,9,1489,1220,1757,7.178
SKU10002,Apparel,2025-03-10,10,1494,1225,1762,7.178
SKU10002,Apparel,2025-03-17,11,1398,1146,1649,7.178
SKU10002,Apparel,2025-03-24,12,1496,1226,1765,7.178
SKU10003,Apparel,2025-01-06,1,1216,997,1434,7.041
SKU10003,Apparel,2025-01-13,2,1169,958,1379,7.041
SKU10003,Apparel,2025-01-20,3,1249,1024,1473,7.041
SKU10003,Apparel,2025-01-27,4,1099,901,1296,7.041
SKU10003,Apparel,2025-02-03,5,1199,983,1414,7.041
SKU10003,Apparel,2025-02-10,6,1192,977,1406,7.041
SKU10003,Apparel,2025-02-17,7,1257,1030,1483,7.041
SKU10003,Apparel,2025-02-24,8,1202,985,1418,7.041
SKU10003,Apparel,2025-03-03,9,1448,1187,1708,7.041
SKU10003,Apparel,2025-03-10,10,1347,1104,1589,7.041
SKU10003,Apparel,2025-03-17,11,1498,1228,1767,7.041
SKU10003,Apparel,2025-03-24,12,1508,1236,1779,7.041
SKU10004,Industrial,2025-01-06,1,1289,1056,1521,6.68
SKU10004,Industrial,2025-01-13,2,1389,1138,1639,6.68
SKU10004,Industrial,2025-01-20,3,1310,1074,1545,6.68
SKU10004,Industrial,2025-01-27,4,1263,1035,1490,6.68
SKU10004,Industrial,2025-02-03,5,1219,999,1438,6.68
SKU10004,Industrial,2025-02-10,6,1362,1116,1607,6.68
SKU10004,Industrial,2025-02-17,7,1318,1080,1555,6.68
SKU10004,Industrial,2025-02-24,8,1334,1093,1574,6.68
SKU10004,Industrial,2025-03-03,9,1419,1163,1674,6.68
SKU10004,Industrial,2025-03-10,10,1461,1198,1723,6.68
SKU10004,Industrial,2025-03-17,11,1447,1186,1707,6.68
