SKU_ID,SKU_NAME,INDUSTRY,CATEGORY,PRIMARY_SUPPLIER,UNIT_COST,REORDER_POINT,SAFETY_STOCK,MAX_STOCK,LEAD_TIME_DAYS,CRITICALITY
SKU10000,Automotive Product 1,Automotive,Component,SUP1030,299.31,171,45,744,39,Medium
SKU10001,Healthcare Product 2,Healthcare,Component,SUP1138,40.34,250,56,959,15,Medium
SKU10002,Apparel Product 3,Apparel,Raw Material,SUP1164,96.49,493,129,2630,38,Low
SKU10003,Apparel Product 4,Apparel,Finished Good,SUP1022,345.89,371,160,2103,53,Medium
SKU10004,Industrial Product 5,Industrial,Finished Good,SUP1004,14.21,77,35,439,20,Medium
SKU10005,Industrial Product 6,Industrial,Raw Material,SUP1059,14.1,150,41,1159,24,Medium
SKU10006,Automotive Product 7,Automotive,Raw Material,SUP1174,57.15,344,132,2690,28,Low
SKU10007,Grocery Product 8,Grocery,Component,SUP1057,16.57,185,58,1146,1,Low
SKU10008,Automotive Product 9,Automotive,Finished Good,SUP1124,141.65,367,172,2886,33,Low
SKU10009,Industrial Product 10,Industrial,Component,SUP1004,59.05,268,75,1595,22,Low
SKU10010,Electronics Product 11,Electronics,Finished Good,SUP1007,16.01,420,182,2047,24,Medium
SKU10011,Apparel Product 12,Apparel,Packaging,SUP1076,32.65,237,49,1297,48,High
SKU10012,Industrial Product 13,Industrial,Finished Good,SUP1119,108.52,51,19,164,12,Medium
SKU10013,Healthcare Product 14,Healthcare,Component,SUP1131,38.11,278,92,2074,13,High
SKU10014,Electronics Product 15,Electronics,Component,SUP1074,23.33,269,121,1195,20,Low
SKU10015,Healthcare Product 16,Healthcare,Component,SUP1128,214.97,247,101,1129,11,High
SKU10016,Healthcare Product 17,Healthcare,Packaging,SUP1196,398.36,343,95,1174,16,Medium
SKU10017,Electronics Product 18,Electronics,Finished Good,SUP1074,38.19,50,15,286,18,Low
SKU10018,Automotive Product 19,Automotive,Finished Good,SUP1217,252.0,356,144,2617,28,Low
SKU10019,Automotive Product 20,Automotive,Packaging,SUP1189,175.37,467,161,2277,32,High
SKU10020,Automotive Product 21,Automotive,Raw Material,SUP1176,5.67,71,26,343,32,High
SKU10021,Healthcare Product 22,Healthcare,Finished Good,SUP1097,34.56,463,197,3107,16,High
