SUPPLIER_ID,INDUSTRY,REGION,TIER,WEEK_START,YEAR,ON_TIME_DELIVERY,DEFECT_RATE,LEAD_TIME_DAYS,ORDERS_PLACED,SPEND,SCORE
SUP1000,Industrial,Middle East,Tier 2,2022-01-03,2022,0.794,0.044,13,9,12175.0,74.4
SUP1000,Industrial,Middle East,Tier 2,2022-01-17,2022,0.8371,0.0182,14,20,145189.0,83.6
SUP1000,Industrial,Middle East,Tier 2,2022-01-31,2022,0.7993,0.0326,11,13,21833.0,80.6
SUP1000,Industrial,Middle East,Tier 2,2022-02-14,2022,0.8079,0.0304,18,17,8479.0,73.3
SUP1000,Industrial,Middle East,Tier 2,2022-02-28,2022,0.8052,0.0318,10,23,46798.0,81.1
SUP1000,Industrial,Middle East,Tier 2,2022-03-14,2022,0.8042,0.032,14,19,36654.0,77.4
SUP1000,Industrial,Middle East,Tier 2,2022-03-28,2022,0.8369,0.0381,14,17,8152.0,76.6
SUP1000,Industrial,Middle East,Tier 2,2022-04-11,2022,0.8287,0.0326,8,3,20350.0,81.7
SUP1000,Industrial,Middle East,Tier 2,2022-04-25,2022,0.8165,0.0411,15,9,9545.0,73.3
SUP1000,Industrial,Middle East,Tier 2,2022-05-09,2022,0.8034,0.019,12,12,16778.0,85.5
SUP1000,Industrial,Middle East,Tier 2,2022-05-23,2022,0.846,0.0318,8,16,16921.0,82.7
SUP1000,Industrial,Middle East,Tier 2,2022-06-06,2022,0.8328,0.0317,11,18,36619.0,82.2
SUP1000,Industrial,Middle East,Tier 2,2022-06-20,2022,0.8259,0.0318,18,5,5723.0,73.6
SUP1000,Industrial,Middle East,Tier 2,2022-07-04,2022,0.8482,0.031,11,10,17490.0,83.1
SUP1000,Industrial,Middle East,Tier 2,2022-07-18,2022,0.8373,0.0449,12,23,29205.0,77.8
SUP1000,Industrial,Middle East,Tier 2,2022-08-01,2022,0.8827,0.0342,10,3,8635.0,83.3
SUP1000,Industrial,Middle East,Tier 2,2022-08-15,2022,0.8399,0.0426,11,9,6251.0,78.7
SUP1000,Industrial,Middle East,Tier 2,2022-08-29,2022,0.8455,0.042,10,14,79018.0,79.1
SUP1000,Industrial,Middle East,Tier 2,2022-09-12,2022,0.8108,0.0446,8,23,49892.0,76.8
SUP1000,Industrial,Middle East,Tier 2,2022-09-26,2022,0.8777,0.0419,5,21,8569.0,80.4
SUP1000,Industrial,Middle East,Tier 2,2022-10-10,2022,0.8023,0.0389,8,13,10938.0,78.5
SUP1000,Industrial,Middle East,Tier 2,2022-10-24,2022,0.8496,0.0313,11,24,17703.0,83.0
SUP1000,Industrial,Middle East,Tier 2,2022-11-07,2022,0.8563,0.0356,8,8,8120.0,81.8
SUP1000,Industrial,Middle East,Tier 2,2022-11-21,2022,0.8058,0.0312,9,9,4244.0,81.3
SUP1000,Industrial,Middle East,Tier 2,2022-12-05,2022,0.808,0.0496,16,5,4962.0,68.7
SUP1000,Industrial,Middle East,Tier 2,2022-12-19,2022,0.9018,0.029,14,5,39621.0,82.4
SUP1000,Industrial,Middle East,Tier 2,2023-01-02,2023,0.8258,0.0322,11,13,5332.0,81.8
SUP1000,Industrial,Middle East,Tier 2,2023-01-16,2023,0.8602,0.0248,12,13,5792.0,85.7
SUP1000,Industrial,Middle East,Tier 2,2023-01-30,2023,0.8671,0.033,16,6,29240.0,76.9
SUP1000,Industrial,Middle East,Tier 2,2023-02-13,2023,0.8382,0.0306,14,24,36788.0,79.3
SUP1000,Industrial,Middle East,Tier 2,2023-02-27,2023,0.8098,0.0319,16,22,34945.0,75.0
SUP1000,Industrial,Middle East,Tier 2,2023-03-13,2023,0.8414,0.0374,10,4,40606.0,80.6
SUP1000,Industrial,Middle East,Tier 2,2023-03-27,2023,0.8642,0.0477,13,12,30227.0,76.0
SUP1000,Industrial,Middle East,Tier 2,2023-04-10,2023,0.8362,0.0386,9,16,162706.0,79.9
SUP1000,Industrial,Middle East,Tier 2,2023-04-24,2023,0.8624,0.0285,10,21,14982.0,84.5
SUP1000,Industrial,Middle East,Tier 2,2023-05-08,2023,0.7962,0.0475,9,19,98234.0,75.2
SUP1000,Industrial,Middle East,Tier 2,2023-05-22,2023,0.8093,0.0312,15,5,81030.0,76.5
SUP1000,Industrial,Middle East,Tier 2,2023-06-05,2023,0.8771,0.0273,13,13,31324.0,83.6
SUP1000,Industrial,Middle East,Tier 2,2023-06-19,2023,0.8301,0.0196,8,8,36127.0,86.4
SUP1000,Industrial,Middle East,Tier 2,2023-07-03,2023,0.8443,0.0496,11,13,37199.0,76.4
SUP1000,Industrial,Middle East,Tier 2,2023-07-17,2023,0.8583,0.038,11,4,45790.0,81.0
SUP1000,Industrial,Middle East,Tier 2,2023-07-31,2023,0.8597,0.0428,10,19,20291.0,79.4
SUP1000,Industrial,Middle East,Tier 2,2023-08-14,2023,0.8252,0.0439,15,5,15331.0,72.6
SUP1000,Industrial,Middle East,Tier 2,2023-08-28,2023,0.8346,0.0359,16,11,21242.0,74.6
SUP1000,Industrial,Middle East,Tier 2,2023-09-11,2023,0.8475,0.0278,13,3,7119.0,82.3
SUP1000,Industrial,Middle East,Tier 2,2023-09-25,2023,0.8333,0.0386,13,21,9421.0,77.9
SUP1000,Industrial,Middle East,Tier 2,2023-10-09,2023,0.8227,0.0353,11,9,13016.0,80.6
SUP1000,Industrial,Middle East,Tier 2,2023-10-23,2023,0.8317,0.0331,12,11,73258.0,81.7
SUP1000,Industrial,Middle East,Tier 2,2023-11-06,2023,0.863,0.0363,10,11,57218.0,81.8
SUP1000,Industrial,Middle East,Tier 2,2023-11-20,2023,0.8434,0.0311,10,16,28540.0,82.9
SUP1000,Industrial,Middle East,Tier 2,2023-12-04,2023,0.8323,0.0344,7,24,5681.0,81.3
SUP1000,Industrial,Middle East,Tier 2,2023-12-18,2023,0.8473,0.0389,10,4,18313.0,80.3
SUP1000,Industrial,Middle East,Tier 2,2024-01-01,2024,0.8754,0.0278,8,16,37535.0,85.3
SUP1000,Industrial,Middle East,Tier 2,2024-01-15,2024,0.8467,0.0381,13,3,91562.0,78.6
SUP1000,Industrial,Middle East,Tier 2,2024-01-29,2024,0.7934,0.0341,8,11,11760.0,79.8
SUP1000,Industrial,Middle East,Tier 2,2024-02-12,2024,0.8279,0.0428,14,20,21331.0,74.6
SUP1000,Industrial,Middle East,Tier 2,2024-02-26,2024,0.8586,0.0361,17,23,43286.0,74.4
SUP1000,Industrial,Middle East,Tier 2,2024-03-11,2024,0.8568,0.0352,9,10,44126.0,82.0
SUP1000,Industrial,Middle East,Tier 2,2024-03-25,2024,0.8727,0.0258,6,8,7626.0,85.9
SUP1000,Industrial,Middle East,Tier 2,2024-04-08,2024,0.9071,0.0442,13,9,11804.0,78.9
SUP1000,Industrial,Middle East,Tier 2,2024-04-22,2024,0.7739,0.0355,11,17,20495.0,78.5
SUP1000,Industrial,Middle East,Tier 2,2024-05-06,2024,0.8103,0.039,12,10,32830.0,78.8
SUP1000,Industrial,Middle East,Tier 2,2024-05-20,2024,0.8904,0.0129,16,3,11107.0,84.9
SUP1000,Industrial,Middle East,Tier 2,2024-06-03,2024,0.8691,0.0351,11,5,7248.0,82.5
SUP1000,Industrial,Middle East,Tier 2,2024-06-17,2024,0.7858,0.025,18,3,13292.0,74.4
SUP1000,Industrial,Middle East,Tier 2,2024-07-01,2024,0.8027,0.0261,8,7,13800.0,83.0
SUP1000,Industrial,Middle East,Tier 2,2024-07-15,2024,0.8509,0.039,7,20,16987.0,80.4
SUP1000,Industrial,Middle East,Tier 2,2024-07-29,2024,0.8471,0.0323,13,12,96402.0,80.7
SUP1000,Industrial,Middle East,Tier 2,2024-08-12,2024,0.7984,0.0371,10,21,42602.0,78.9
SUP1000,Industrial,Middle East,Tier 2,2024-08-26,2024,0.8486,0.0218,15,23,10483.0,81.3
SUP1000,Industrial,Middle East,Tier 2,2024-09-09,2024,0.8329,0.0313,11,24,19371.0,82.4
SUP1000,Industrial,Middle East,Tier 2,2024-09-23,2024,0.82,0.0408,14,24,30114.0,74.9
SUP1000,Industrial,Middle East,Tier 2,2024-10-07,2024,0.87,0.0425,7,12,58604.0,79.9
SUP1000,Industrial,Middle East,Tier 2,2024-10-21,2024,0.8386,0.0313,12,15,26039.0,82.6
SUP1000,Industrial,Middle East,Tier 2,2024-11-04,2024,0.7957,0.0307,10,20,5397.0,81.1
SUP1000,Industrial,Middle East,Tier 2,2024-11-18,2024,0.8281,0.0398,9,8,85455.0,79.2
SUP1000,Industrial,Middle East,Tier 2,2024-12-02,2024,0.8238,0.0377,13,6,25639.0,77.8
SUP1000,Industrial,Middle East,Tier 2,2024-12-16,2024,0.8093,0.0421,9,19,35503.0,77.6
SUP1000,Industrial,Middle East,Tier 2,2024-12-30,2024,0.855,0.027,9,9,7810.0,84.7
