SUPPLIER_ID,SUPPLIER_NAME,INDUSTRY,REGION,TIER,QUALITY_SCORE,ON_TIME_DELIVERY_BASE,DEFECT_RATE_BASE,AVG_LEAD_DAYS,ANNUAL_SPEND,SINGLE_SOURCE,CONTRACTS_ACTIVE,RISK_LEVEL
SUP1000,Industrial Supplier 1,Industrial,Middle East,Tier 2,62.6,0.84,0.0342,12,505640.0,0,1,Low
SUP1001,Healthcare Supplier 2,Healthcare,Latin America,Tier 3,94.8,0.865,0.0634,18,350236.0,0,7,High
SUP1002,Apparel Supplier 3,Apparel,Asia Pacific,Tier 2,86.9,0.845,0.0362,46,11116102.0,0,3,Low
SUP1003,Industrial Supplier 4,Industrial,Latin America,Tier 2,86.0,0.82,0.0309,14,168749.0,0,4,Low
SUP1004,Industrial Supplier 5,Industrial,Asia Pacific,Tier 3,67.5,0.947,0.0469,19,191631.0,0,6,Low
SUP1005,Healthcare Supplier 6,Healthcare,Asia Pacific,Tier 2,80.2,0.793,0.0496,26,1449494.0,0,5,Low
SUP1006,Electronics Supplier 7,Electronics,Latin America,Tier 2,83.0,0.785,0.0411,26,196126.0,0,3,Low
SUP1007,Electronics Supplier 8,Electronics,Latin America,Tier 2,91.6,0.848,0.0764,14,3873752.0,0,2,Medium
SUP1008,Automotive Supplier 9,Automotive,North America,Tier 3,88.7,0.746,0.0489,30,192482.0,0,7,High
SUP1009,Electronics Supplier 10,Electronics,Europe,Tier 3,78.0,0.888,0.061,30,132995.0,0,5,Low
SUP1010,Automotive Supplier 11,Automotive,Europe,Tier 1,61.4,0.721,0.0688,34,574765.0,0,1,Medium
SUP1011,Automotive Supplier 12,Automotive,Middle East,Tier 2,75.9,0.764,0.0374,32,1137411.0,1,6,High
SUP1012,Industrial Supplier 13,Industrial,Middle East,Tier 2,80.8,0.889,0.0106,19,560486.0,0,4,Medium
SUP1013,Automotive Supplier 14,Automotive,Middle East,Tier 2,94.9,0.735,0.0293,26,700362.0,0,1,Medium
SUP1014,Grocery Supplier 15,Grocery,Europe,Tier 1,93.4,0.754,0.0477,10,6826177.0,0,1,Low
SUP1015,Grocery Supplier 16,Grocery,Latin America,Tier 2,92.0,0.748,0.0651,0,1044629.0,0,2,Low
SUP1016,Automotive Supplier 17,Automotive,Asia Pacific,Tier 3,84.8,0.943,0.0405,24,247058.0,0,3,High
SUP1017,Healthcare Supplier 18,Healthcare,Europe,Tier 2,92.1,0.833,0.0698,13,1196766.0,0,5,Low
SUP1018,Electronics Supplier 19,Electronics,North America,Tier 1,71.5,0.746,0.0796,21,64944.0,0,2,Low
SUP1019,Healthcare Supplier 20,Healthcare,Latin America,Tier 2,80.6,0.76,0.0113,10,955003.0,0,4,Medium
SUP1020,Grocery Supplier 21,Grocery,Latin America,Tier 2,84.1,0.916,0.0626,12,777947.0,0,6,Medium
SUP1021,Electronics Supplier 22,Electronics,North America,Tier 2,85.9,0.889,0.0487,18,413789.0,0,1,Medium
SUP1022,Apparel Supplier 23,Apparel,Asia Pacific,Tier 2,68.0,0.793,0.0251,38,96454.0,0,7,Medium
